level1,level2,level3,occurrences
Α. ΣΥΝΤΗΡΗΣΗ,1. ΒΑΨΙΜΟ,,600
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,7. AIR-CONDITIONING,,369
Β. ΗΛΕΚΤΡΟΛΟΓΙΚΑ,4. ΛΑΜΠΑ,,264
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,D.1 ΜΗΧΑΝΗΜΑΤΑ ΚΟΥΖΙΝΑΣ,3. ΤΗΛΕΟΡΑΣΗ,219
C. ΥΔΡΑΥΛΙΚΑ,4. ΣΙΦΟΝΙ ΜΠΑΝΙΟΥ,,219
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,D.1 ΜΗΧΑΝΗΜΑΤΑ ΚΟΥΖΙΝΑΣ,6. AIR-CONDITIONING,213
C. ΥΔΡΑΥΛΙΚΑ,7. ΚΑΖΑΝΑΚΙ ΤΟΥΑΛΕΤΑΣ,,182
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,11. ΑΛΛΗ ΒΛΑΒΗ ΕΞΟΠΛΙΣΜΟΥ,,168
Α. ΣΥΝΤΗΡΗΣΗ,25. ΑΛΛΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΒΛΑΒΗ,,153
Α. ΣΥΝΤΗΡΗΣΗ,2. ΣΤΟΚΑΡΙΣΜΑ,,152
C. ΥΔΡΑΥΛΙΚΑ,7. AIR-CONDITIONING,,147
D. ΕΠΙΤΡΑΠΕΖΙΟΣ ΕΞΟΠΛΙΣΜΟΣ,D.1 ΜΗΧΑΝΗΜΑΤΑ ΚΟΥΖΙΝΑΣ,22. ΆΛΛΗ ΥΔΡΑΥΛΙΚΗ ΒΛΑΒΗ,143
C. ΥΔΡΑΥΛΙΚΑ,14. ΆΛΛΗ ΥΔΡΑΥΛΙΚΗ ΒΛΑΒΗ,,127
